road,tract
51,1
13,7
66,5
63,5
13,7
30,22
36,1
30,22
51,1
13,7
30,22
51,1
143,13
51,1
51,1
306,5
30,22
30,22
306,5
306,5
30,8
13,7
66,5
30,8
13,7
30,17
13,7
13,7
2,5
2,5
6,8
2,5
2,5
11,11
143,13
143,12
143,13
143,13
143,12
307,13
143,13
63,5
5,5
308,101
5,5
2,5
66,2
308,101
63,5
30,103
309,101
308,101
308,101
310,101
63,2
63,2
78,2
71,2
5,2
5,2
310,101
308,101
310,101
310,101
308,101
5,2
310,101
311,106
311,106
311,106
71,2
5,2
5,2
30,102
311,106
30,102
30,103
2,2
312,101
2,5
2,5
30,103
2,5
2,5
30,103
30,103
30,103
311,106
20,12
20,85
20,85
311,106
20,85
20,85
30,104
311,106
30,101
2,2
2,5
2,5
2,5
143,12
143,13
143,13
143,12
313,15
143,13
313,15
30,15
30,15
30,15
30,102
30,102
2,2
2,5
30,8
30,8
30,8
30,17
5,5
2,5
30,17
66,26
66,27
66,27
30,39
58,39
306,7
66,5
75,2
73,2
74,2
73,2
30,31
30,31
30,31
88,21
304,2
66,2
30,21
66,2
66,2
66,2
66,2
66,2
63,2
71,2
63,2
63,2
63,2
63,2
30,21
71,2
81,2
71,2
71,2
5,2
43,0
35,0
43,1
43,1
35,1
43,1
35,1
43,1
30,39
57,31
35,1
76,39
36,1
57,31
36,1
57,0
36,0
43,0
43,0
72,14
72,14
35,14
25,14
22,14
35,14
35,24
314,0
35,24
35,24
88,0
88,0
35,24
35,24
35,24
92,33
35,24
35,24
92,33
93,24
93,29
66,26
63,26
92,29
89,0
66,26
89,0
89,1
63,30
82,1
82,1
82,1
82,1
103,40
42,35
42,35
42,35
42,35
1,1
1,1
1,1
42,35
79,1
1,1
42,35
107,39
1,1
1,43
107,39
100,18
100,18
36,18
72,18
72,0
1,43
35,0
43,0
152,43
35,0
151,45
43,0
315,45
43,0
35,0
1,43
43,0
151,45
315,45
102,0
151,14
182,40
316,24
35,24
182,40
111,76
40,55
182,40
182,40
40,51
40,51
182,40
182,36
40,51
40,51
40,52
42,40
40,52
134,52
35,52
111,107
111,34
35,52
317,52
111,34
35,81
35,68
192,53
237,53
187,34
187,34
187,34
192,68
187,34
187,34
192,68
192,68
192,68
192,68
192,69
187,35
105,47
192,70
187,47
187,47
192,70
192,70
187,47
192,69
192,70
187,47
187,47
187,47
192,70
192,70
192,70
185,47
122,48
318,70
122,49
124,47
30,39
192,70
210,70
201,70
192,71
122,49
192,70
192,70
192,71
58,39
192,71
192,71
122,48
207,71
192,71
185,47
213,73
122,48
213,73
319,47
213,74
213,73
320,47
185,47
185,47
185,47
213,74
214,73
320,47
124,47
213,74
213,73
106,38
213,73
213,73
103,38
213,75
213,75
213,73
103,38
122,48
213,73
213,73
122,48
213,75
321,77
196,77
213,75
196,77
217,75
122,44
218,75
